order,EPISODE_ID,CREATED,EMOTION_ID,USER_ID,IS_DELETED,DB_UPDATE_TS,VOTE_KEY,set
"28,29,30,31,32,33,34,35,36,37,38,39",8791892,2022-11-08 20:58:51 +0000 UTC,28,22659137,0,2022-11-08 20:58:51 +0000 UTC,8791892-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564625,2023-07-03 20:27:43 +0000 UTC,28,22659137,0,2023-07-03 20:27:43 +0000 UTC,9564625-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6576181,2022-12-29 00:30:01 +0000 UTC,28,22659137,0,2022-12-29 00:30:01 +0000 UTC,6576181-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9706786,2023-04-19 18:32:23 +0000 UTC,33,22659137,0,2023-04-19 18:32:23 +0000 UTC,9706786-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9238603,2023-01-23 09:35:51 +0000 UTC,30,22659137,0,2023-01-23 09:35:51 +0000 UTC,9238603-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8320011,2023-11-04 23:12:19 +0000 UTC,37,22659137,0,2023-11-04 23:12:19 +0000 UTC,8320011-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9577090,2023-02-11 12:34:07 +0000 UTC,33,22659137,0,2023-02-11 12:34:07 +0000 UTC,9577090-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564642,2023-06-10 11:59:28 +0000 UTC,37,22659137,0,2023-06-10 11:59:28 +0000 UTC,9564642-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6576176,2022-12-28 23:19:14 +0000 UTC,28,22659137,0,2022-12-28 23:19:14 +0000 UTC,6576176-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010222,2023-03-07 23:02:36 +0000 UTC,31,22659137,0,2023-03-07 23:02:36 +0000 UTC,9010222-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9931637,2023-09-25 20:15:09 +0000 UTC,30,22659137,0,2023-09-25 20:15:09 +0000 UTC,9931637-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9765174,2023-07-27 06:18:21 +0000 UTC,28,22659137,0,2023-07-27 06:18:21 +0000 UTC,9765174-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9476213,2023-02-01 21:23:10 +0000 UTC,35,22659137,1,2023-02-01 21:23:13 +0000 UTC,9476213-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8197081,2023-01-24 21:42:37 +0000 UTC,30,22659137,0,2023-01-24 21:42:37 +0000 UTC,8197081-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7110139,2022-12-30 13:08:49 +0000 UTC,28,22659137,0,2022-12-30 13:08:49 +0000 UTC,7110139-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9743651,2023-10-20 22:09:52 +0000 UTC,39,22659137,1,2023-10-20 22:09:53 +0000 UTC,9743651-22659137-39,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9577091,2023-02-12 21:20:35 +0000 UTC,28,22659137,0,2023-02-12 21:20:35 +0000 UTC,9577091-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564628,2023-07-05 12:35:20 +0000 UTC,28,22659137,1,2023-07-05 12:35:22 +0000 UTC,9564628-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564630,2023-07-05 21:48:36 +0000 UTC,37,22659137,0,2023-07-05 21:48:36 +0000 UTC,9564630-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8371186,2023-01-28 23:06:17 +0000 UTC,30,22659137,1,2023-01-28 23:06:19 +0000 UTC,8371186-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7036615,2022-12-29 01:04:18 +0000 UTC,33,22659137,0,2022-12-29 01:04:18 +0000 UTC,7036615-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7620097,2022-10-23 10:54:33 +0000 UTC,28,22659137,0,2022-10-23 10:54:33 +0000 UTC,7620097-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7620097,2022-10-23 10:54:31 +0000 UTC,33,22659137,0,2022-10-23 10:54:31 +0000 UTC,7620097-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9505051,2023-03-25 19:47:22 +0000 UTC,28,22659137,0,2023-03-25 19:47:22 +0000 UTC,9505051-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7070899,2022-12-29 21:50:34 +0000 UTC,33,22659137,0,2022-12-29 21:50:34 +0000 UTC,7070899-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303186,2023-11-19 10:51:49 +0000 UTC,33,22659137,0,2023-11-19 10:51:50 +0000 UTC,9303186-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7620104,2022-10-28 21:23:30 +0000 UTC,30,22659137,0,2022-10-28 21:23:30 +0000 UTC,7620104-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9288825,2022-08-23 00:09:12 +0000 UTC,37,22659137,0,2022-08-23 00:09:12 +0000 UTC,9288825-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7579004,2022-12-20 22:21:51 +0000 UTC,28,22659137,0,2022-12-20 22:21:52 +0000 UTC,7579004-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8320006,2023-11-01 22:10:27 +0000 UTC,33,22659137,0,2023-11-01 22:10:27 +0000 UTC,8320006-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9100817,2022-12-31 12:39:38 +0000 UTC,33,22659137,0,2022-12-31 12:39:38 +0000 UTC,9100817-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7485560,2022-09-02 15:35:42 +0000 UTC,39,22659137,0,2022-09-02 15:35:42 +0000 UTC,7485560-22659137-39,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9005054,2022-12-31 12:09:28 +0000 UTC,33,22659137,0,2022-12-31 12:09:28 +0000 UTC,9005054-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6778626,2022-10-20 23:11:43 +0000 UTC,28,22659137,0,2022-10-20 23:11:43 +0000 UTC,6778626-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6104952,2022-10-09 20:55:45 +0000 UTC,33,22659137,0,2022-10-09 20:55:45 +0000 UTC,6104952-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9765175,2023-08-11 11:32:38 +0000 UTC,35,22659137,0,2023-08-11 11:32:38 +0000 UTC,9765175-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",1084221,2023-12-30 13:34:42 +0000 UTC,33,22659137,0,2023-12-30 13:34:42 +0000 UTC,1084221-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",5626064,2022-11-28 14:40:52 +0000 UTC,28,22659137,0,2022-11-28 14:40:52 +0000 UTC,5626064-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9577091,2023-02-12 21:20:36 +0000 UTC,37,22659137,0,2023-02-12 21:20:36 +0000 UTC,9577091-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",10002433,2023-10-06 12:15:34 +0000 UTC,28,22659137,0,2023-10-06 12:15:34 +0000 UTC,10002433-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9505046,2023-03-21 23:04:32 +0000 UTC,30,22659137,0,2023-03-21 23:04:32 +0000 UTC,9505046-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6538598,2022-12-03 23:57:28 +0000 UTC,38,22659137,0,2022-12-03 23:57:28 +0000 UTC,6538598-22659137-38,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607712,2023-03-26 13:21:27 +0000 UTC,37,22659137,0,2023-03-26 13:21:27 +0000 UTC,9607712-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9160492,2022-12-23 01:10:28 +0000 UTC,28,22659137,0,2022-12-23 01:10:28 +0000 UTC,9160492-22659137-28,12_all
